uid,is_strike
122428,0.1247185468673706
291855,0.9766293279826641
225539,0.9976430160459131
1410,0.0025649666786193848
256048,0.002432703971862793
192282,6.401538848876953e-5
157268,0.00435793399810791
56958,1.4901161193847656e-5
211402,0.03964418172836304
84564,3.0159950256347656e-5
115575,1.4030933380126953e-4
13562,6.961822509765625e-5
174089,7.706880569458008e-4
67863,0.9970086335670203
284661,0.004278957843780518
132379,0.9728697370737791
270116,0.7912248373031616
261810,0.9207975193858147
187570,0.9948247717693448
72856,0.9756866991519928
67639,1.8399953842163086e-4
57095,0.9718149453401566
127490,0.6033098995685577
164259,0.7667558491230011
169748,0.042864978313446045
226396,3.0982494354248047e-4
185449,3.046989440917969e-4
306263,1.379251480102539e-4
274817,2.1457672119140625e-5
33552,1.119375228881836e-4
86614,0.7127847373485565
109749,0.9780111033469439
201283,0.054290771484375
125498,0.17436128854751587
215167,0.0012520551681518555
152367,2.117753028869629e-4
281361,0.0036583542823791504
294234,0.9102344289422035
265461,6.449222564697266e-5
116581,0.9920329032465816
36960,0.017404794692993164
300201,0.008869767189025879
221969,0.9069574624300003
268683,0.00781792402267456
159307,5.8770179748535156e-5
239408,0.5350727438926697
230756,0.057897984981536865
200998,2.2453069686889648e-4
278690,2.2649765014648438e-05
270207,0.9942387621849775
310856,9.560585021972656e-5
114588,0.004402577877044678
240727,3.3271312713623047e-4
151403,0.001320183277130127
86667,2.9200315475463867e-4
170960,1.8358230590820313e-05
196338,0.8164551705121994
96441,0.9105549678206444
262389,1.1372566223144531e-4
70608,3.349781036376953e-5
90927,0.04281342029571533
81376,1.5270709991455078e-4
53037,1.33514404296875e-5
296254,2.5266408920288086e-4
245502,0.9915790464729071
69869,0.985601426102221
205462,1.5997886657714844e-4
234487,0.0029514431953430176
252516,0.953194435685873
75568,0.996308769332245
98703,1.958012580871582e-4
204207,2.002120018005371e-4
294807,0.9952916321344674
121682,0.5260030627250671
193167,0.9938674033619463
45291,0.9965189285576344
157694,0.037692904472351074
142415,2.0378828048706055e-4
53508,8.7738037109375e-5
55406,0.024172544479370117
113071,0.017734527587890625
236904,0.8958783149719238
98299,0.12938135862350464
211497,0.9878197479993105
263597,0.006212711334228516
92557,0.9909934438765049
41206,0.7269565761089325
167909,0.3773265480995178
303543,2.588629722595215e-4
192791,0.006317615509033203
100543,0.0237618088722229
105730,0.9969027435872704
179129,0.012575924396514893
257569,4.5353174209594727e-4
83880,0.003847777843475342
82793,2.7757883071899414e-4
197873,0.9836062267422676
294222,0.002210378646850586
41989,0.024561405181884766
126122,1.308917999267578e-4
138379,0.8560848981142044
195373,0.2808449864387512
133441,3.3032894134521484e-4
297802,0.9837737381458282
123673,0.28748244047164917
197678,0.6164407730102539
110995,5.929470062255859e-4
137355,0.0170249342918396
111201,4.870891571044922e-4
310684,0.03391343355178833
86057,2.6482343673706055e-4
136880,0.7676828801631927
201903,0.9966291640885174
61180,0.996440194780007
91743,2.097487449645996e-4
280992,0.4224972724914551
147929,2.0676851272583008e-4
217871,4.528164863586426e-4
297632,3.981590270996094e-5
227554,0.9667887911200523
266392,0.3588665723800659
7538,2.194046974182129e-4
186041,0.003967702388763428
19287,0.9915880570188165
815,9.334087371826172e-5
93058,2.225041389465332e-4
198540,0.9951661992818117
91774,0.9016048982739449
228382,0.9930765870958567
112961,2.021193504333496e-4
240248,0.9475749209523201
177400,4.070401191711426e-4
8407,0.02094954252243042
257751,0.0066301822662353516
15376,1.799464225769043e-4
65032,7.534027099609375e-5
119772,0.760062575340271
271713,9.846687316894531e-5
228721,8.702278137207031e-5
108423,2.9593706130981445e-4
82807,0.004754126071929932
284558,0.9661525189876556
9251,0.009392023086547852
99513,0.050861239433288574
128235,2.2202730178833008e-4
152814,1.3267993927001953e-4
204406,2.669692039489746e-4
48300,1.0287761688232422e-4
185941,0.863477498292923
18707,0.00791633129119873
288265,0.001296401023864746
222230,0.05960643291473389
27983,0.9941259138286114
75853,0.7553038746118546
211550,1.868605613708496e-4
101221,5.602836608886719e-5
75995,0.9975091991946101
227926,0.004750728607177734
186177,0.046918392181396484
126409,0.09516048431396484
200303,1.398324966430664e-4
